DiscTag,sex,length
3D61534A21E37,F,52
3D61534A21E38,F,143
3D61534A21E39,F,89
3D61534A21E3A,F,122
3D61534A21E3B,F,84
3D61534A21E3C,F,122
3D61534A21E3D,F,75
3D61534A21E3E,F,131
3D61534A21E3F,F,80
3D61534A21E40,F,162
3D61534A21E41,F,108
3D61534A21E42,F,121
3D61534A21E43,F,90
3D61534A21E44,F,93
3D61534A21E46,F,75
3D61534A21E47,F,92
3D61534A21E48,F,85
3D61534A21E49,F,86
3D61534A21E4A,F,89
3D61534A21E4C,F,131
3D61534A21E4D,F,91
3D61534A21E4E,F,141
3D61534A21E4F,F,91
3D61534A21E50,F,172
3D61534A21E51,F,73
3D61534A21E52,F,114
3D61534A21E53,F,120
3D61534A21E54,F,112
3D61534A21E55,F,99
3D61534A21E56,F,93
3D61534A21E58,F,150
3D61534A21E5A,F,89
3D61534A21E5B,F,140
3D61534A21E5D,F,147
3D61534A21E5E,F,112
3D61534A21E61,F,141
3D61534A21E62,F,138
3D61534A21E63,F,118
3D61534A21E64,F,150
3D61534A21E67,F,135
3D61534A21E6B,F,220
3D61534A21E6C,F,99
3D61534A21E70,F,96
3D61534A21E71,F,89
3D61534A21E74,F,132
3D61534A21E76,F,130
3D61534A21E78,F,99
3D61534A21E79,F,112
3D61534A21E7A,F,97
3D61534A21E7B,F,66
